Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9635668998980691
1,4,1.0
2,3,0.8921409567221933
3,3,0.9340885378128173
1,4,1.0
2,4,0.949574738483116
3,4,0.9027550983648948
4,4,0.9636152866928928
1,4,1.0
2,3,0.9533513057989362
3,4,0.886845143512282
4,4,0.9119061192270973
5,4,0.9075806616103634
1,4,1.0
2,4,0.9299391157788727
3,4,0.8347986660697672
4,4,0.955411068621693
5,3,0.9016411347840746
6,4,0.9048072400176321
1,4,1.0
2,3,0.9282293563289629
3,4,0.8555269171258031
4,4,0.9306678528419638
5,4,0.9279410918571843
6,3,0.829501004682272
7,4,0.9175994617505462
1,4,1.0
2,3,0.9010720560804906
3,4,0.8573551930063216
4,4,0.9434335138505627
5,4,0.9317526613006029
6,3,0.9282327832051055
7,3,0.9235999957116516
8,3,0.8691821594620551
1,4,1.0
2,2,0.8466164640312042
3,3,0.8270756915061014
4,2,0.9129596510820388
5,3,0.8601563836791922
6,4,0.8261688324546533
7,4,0.9427578780878644
8,4,0.9268721252432215
9,2,0.9037834828622199
1,4,1.0
2,2,0.78634140287189
3,2,0.7709295478544715
4,3,0.8331777421211545
5,3,0.9494450456049954
6,4,0.8807804261156268
7,4,0.8735122255506717
8,4,0.8469485826969074
9,4,0.9605228142567019
10,4,0.9628282726101839
1,4,1.0
2,1,0.6666724798734776
3,4,0.7079522464590516
4,2,0.8779854618691655
5,4,0.9276115897931007
6,3,0.7630949688080336
7,2,0.9174018604661901
8,3,0.8970553850534021
9,3,0.9347199124660773
10,3,0.9113385857714436
11,4,0.9247299340278033
1,4,1.0
2,2,0.6340895260798954
3,2,0.7323086026114533
4,2,0.8724326225602224
5,2,0.831269018529852
6,2,0.8281051730229151
7,4,0.9554661288635447
8,3,0.8888262218820627
9,3,0.939550399972245
10,4,0.9549412009446719
11,4,0.9050177006196289
12,4,0.9548967031943035
