Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.9237144145128331
1,4,1.0
2,4,0.8992071705367289
3,4,0.8574153343493935
1,4,1.0
2,3,0.9034833316956872
3,4,0.852705900256052
4,4,0.9165504867137957
1,4,1.0
2,4,0.9174589077258427
3,3,0.8528136328087145
4,4,0.9136369081447762
5,3,0.9127352052165922
1,4,1.0
2,3,0.896625048799168
3,3,0.8301089515208823
4,3,0.8449173722993252
5,4,0.9098033585143108
6,4,0.911977891097031
1,4,1.0
2,4,0.8302973490513167
3,3,0.8133893483827246
4,4,0.8403739826078609
5,4,0.871300918196437
6,4,0.9076749209166054
7,3,0.9024617065634162
1,4,1.0
2,2,0.7586844068443948
3,4,0.8438950856099929
4,4,0.8922777306981253
5,4,0.9007250538071147
6,4,0.9067880691264036
7,3,0.8949883907779674
8,4,0.8262414234295498
1,4,1.0
2,2,0.7591085598751375
3,4,0.8694556494534855
4,4,0.7973368280569908
5,3,0.8765945819669241
6,3,0.8995358060991088
7,4,0.8956813132490816
8,4,0.8444998550735294
9,2,0.8957176721884215
1,4,1.0
2,2,0.7580423132100786
3,4,0.872858544602849
4,4,0.8453996287606725
5,3,0.8805790948140929
6,4,0.8939090974705232
7,3,0.9481501057128617
8,3,0.8445720911411346
9,3,0.8894759372222243
10,4,0.8473180602421377
1,4,1.0
2,2,0.8094130385968444
3,3,0.9254660585779088
4,3,0.7474668833296079
5,4,0.9040711465986476
6,4,0.9344346383731321
7,4,0.8523829733817655
8,4,0.8068597845866508
9,3,0.9422197170906652
10,3,0.8195758028716165
11,4,0.855545361693812
1,4,1.0
2,2,0.8093163817384748
3,3,0.9010362506107095
4,3,0.8101216484746437
5,4,0.8597315001975124
6,4,0.8806095261573053
7,2,0.8074198817298038
8,2,0.8105347715645191
9,3,0.9094231220621822
10,4,0.847709652088401
11,4,0.8774143480535277
12,3,0.9324798396134241
