Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.7688864477063894
1,4,1.0
2,4,0.8084840911203696
3,3,0.7922832582627973
1,4,1.0
2,4,0.8320035413670936
3,4,0.7765561142094914
4,4,0.8321100691993134
1,4,1.0
2,4,0.8520616718058028
3,4,0.802043077653937
4,4,0.7795946699625533
5,4,0.7805235453015281
1,4,1.0
2,3,0.7913686910325185
3,4,0.806412879642285
4,3,0.8714223351963211
5,4,0.8141738801984241
6,2,0.7912969551791256
1,4,1.0
2,2,0.6700116948177547
3,4,0.8512765879118817
4,3,0.8468103586595624
5,2,0.8623815811559469
6,4,0.7964830714000285
7,3,0.8459672828703311
1,4,1.0
2,2,0.594523885788546
3,4,0.8499444390760299
4,3,0.7926445698671948
5,3,0.7499250651080566
6,3,0.7480678421500737
7,4,0.8384394969966494
8,4,0.7835626656795188
1,4,1.0
2,2,0.6419328356494547
3,2,0.7697707707519641
4,2,0.7057038554377452
5,3,0.7851308028252703
6,3,0.8016460240237937
7,4,0.8040762904134515
8,4,0.8336105499458356
9,4,0.814319275379051
1,4,1.0
2,2,0.6320064213500526
3,3,0.7525348531207906
4,2,0.7054482991072308
5,3,0.8230824276321216
6,4,0.8405064263575882
7,3,0.8346619054625753
8,4,0.8168896446641343
9,2,0.8274044603103294
10,4,0.8097890638979847
1,4,1.0
2,2,0.6792901303877752
3,3,0.7695902652647065
4,2,0.6619066606256042
5,4,0.8272680833828745
6,4,0.856578852868253
7,2,0.8173979159466381
8,3,0.8177530387997947
9,3,0.8136583873031189
10,4,0.7681140005623861
11,4,0.8163624682014252
1,4,1.0
2,4,0.8698269953121571
3,3,0.767103369429363
4,2,0.6227187905743669
5,4,0.7312443881405871
6,2,0.7617571150931365
7,3,0.7508039119044451
8,2,0.8351830832923317
9,4,0.8229181219869285
10,4,0.7905488566386997
11,4,0.7904273331839887
12,4,0.8082593239468007
