Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.8943689567900747
1,4,1.0
2,2,0.8974707332541685
3,4,0.8991372296106788
1,4,1.0
2,4,0.8388253050669258
3,4,0.926904873857813
4,3,0.8873265544602277
1,4,1.0
2,3,0.831118060171195
3,4,0.8815588174476819
4,4,0.8886023068562111
5,4,0.8336756061997133
1,4,1.0
2,4,0.8706481812643234
3,4,0.8223202677088145
4,4,0.9649881454014181
5,4,0.8279051831448636
6,4,0.9218949754594135
1,4,1.0
2,4,0.8672823909338361
3,4,0.8993744818714731
4,3,0.9118631819692272
5,2,0.8758666469133767
6,3,0.8992751633680107
7,2,0.8927730341113713
1,4,1.0
2,4,0.8950791826192519
3,3,0.8297156255066467
4,3,0.7818649731324269
5,2,0.8269462870519486
6,4,0.8674577169741385
7,4,0.8940856737076027
8,4,0.8975810154780544
1,4,1.0
2,4,0.8700144969173487
3,4,0.8183879101957996
4,2,0.8013036138071675
5,3,0.8449505562521507
6,3,0.9223975322358225
7,4,0.8189358076482269
8,4,0.9271880501162374
9,4,0.8805323635177504
1,4,1.0
2,4,0.8763582696805892
3,4,0.8002174950847022
4,2,0.8329696341670855
5,3,0.8157885146612778
6,4,0.9268471981280793
7,4,0.8398495394597237
8,3,0.9297335030645207
9,4,0.8349457676986342
10,3,0.862082614728656
1,4,1.0
2,4,0.8858282542539619
3,3,0.7260557180009317
4,4,0.8232705383928549
5,3,0.8422099393126867
6,4,0.884892206371953
7,2,0.8206919684762216
8,4,0.846646307414904
9,4,0.8111453621472854
10,4,0.8632237951782785
11,3,0.8365781028582424
1,4,1.0
2,4,0.7856052014044874
3,3,0.7909108788390783
4,4,0.8505705818326335
5,4,0.8216968243380302
6,3,0.8479628401706614
7,4,0.7918212442787261
8,2,0.7435012825230566
9,3,0.863859468343618
10,3,0.8704806537119794
11,4,0.8405728085380741
12,3,0.8930379971488803
