Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9695489028909923
1,4,1.0
2,4,0.9908887684793739
3,4,0.9093339683262666
1,4,1.0
2,3,0.9691752619499534
3,4,0.9309231861241773
4,4,0.9762124416277252
1,4,1.0
2,4,0.9842144480246313
3,4,1.0160496480634498
4,4,0.9585914754555126
5,2,0.9338957973556107
1,4,1.0
2,4,0.8883028260030497
3,4,0.9446476941394878
4,3,0.978955730072223
5,4,0.990875640315836
6,4,0.9636110759224615
1,4,1.0
2,4,0.9871659911267977
3,3,0.9921638198693223
4,4,0.9435290093859101
5,3,0.95239198174766
6,4,0.9628854024615808
7,4,0.9747665505480658
1,4,1.0
2,4,0.9487070107727431
3,4,1.01141507195403
4,4,0.9346983266526271
5,3,0.9704673680944792
6,2,0.9991862492013911
7,3,0.9567043223480011
8,4,0.9661747151381906
1,4,1.0
2,4,0.944392997193841
3,4,0.98028420785012
4,3,0.97886832249199
5,3,0.9683500332321867
6,4,0.9644337150477251
7,4,0.9703543612985339
8,3,0.9622558254650809
9,4,0.954314202245239
1,4,1.0
2,3,1.0087061994294262
3,4,0.9339838650483085
4,4,0.9958507819062885
5,4,0.9635298942756039
6,4,1.0136346700715089
7,4,0.8837536149926247
8,3,0.977698006771009
9,4,0.9724111602958414
10,4,0.9957948228683018
1,4,1.0
2,4,0.9898412977028455
3,4,0.9139785743314162
4,4,0.9263007686240317
5,4,0.9471237591675237
6,4,0.9911859101922689
7,3,0.9476626169348851
8,3,0.9519880259936304
9,4,1.0094934316247668
10,3,0.9146460322589584
11,4,1.0040113288835923
1,4,1.0
2,3,0.9890042295275175
3,4,0.9933629497565427
4,3,0.9754481834078862
5,4,0.977527046985856
6,4,0.9589765103010945
7,4,0.9596722446281909
8,2,0.9913618430566612
9,4,0.9957052852707711
10,3,0.9799439387191239
11,3,0.9681421338498815
12,3,0.9693409381751191
