Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.8900901576471251
1,4,1.0
2,4,0.8788307403803342
3,4,0.8998325269453685
1,4,1.0
2,3,0.9166026096708173
3,4,0.8946767430402008
4,4,0.8665664602790024
1,4,1.0
2,4,0.9362614583251362
3,4,0.8321519594624126
4,4,0.8452531282329102
5,3,0.8793543775661765
1,4,1.0
2,3,0.8981087419550399
3,4,0.9367979723054322
4,3,0.8636108635852461
5,4,0.8826557130065643
6,4,0.8736842267251903
1,4,1.0
2,4,0.8164525750329029
3,4,0.8416024372135276
4,4,0.8856546407492344
5,4,0.8302468655936571
6,4,0.8810189158935012
7,4,0.8888169043311316
1,4,1.0
2,3,0.8651231736953421
3,4,0.8967510359873593
4,4,0.8632664004540174
5,4,0.8608117019486463
6,3,0.8660030382771726
7,3,0.8884574673247664
8,4,0.894783573026889
1,4,1.0
2,3,0.7853385087231767
3,3,0.9043913458793589
4,4,0.9184416242240432
5,4,0.8897713742327192
6,3,0.8718030346477137
7,4,0.9098684891036121
8,4,0.8716567489575326
9,3,0.8931983034809363
1,4,1.0
2,3,0.7900558197136959
3,4,0.8361065642916393
4,4,0.8384886459625691
5,2,0.7811145432529973
6,4,0.8516193660166651
7,3,0.9267957520658856
8,3,0.914167012959435
9,4,0.9088710243929479
10,4,0.8778680818768493
1,4,1.0
2,2,0.6944299669535923
3,4,0.8490706250025293
4,3,0.9005966671717149
5,4,0.8095935862178385
6,4,0.8252520948932816
7,4,0.8620267838989683
8,4,0.83531876636509
9,4,0.9268437154786671
10,4,0.8534549334775972
11,4,0.8918098046572646
1,4,1.0
2,2,0.6328258805081258
3,4,0.8137658787687779
4,3,0.8854333605186526
5,4,0.808425370990516
6,3,0.8365198916851067
7,3,0.9254159812926664
8,4,0.8546676517370853
9,3,0.8592834550280851
10,3,0.9303440526106501
11,4,0.8122431684039169
12,4,0.8280743174685921
