Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9174708763646624
1,4,1.0
2,4,0.9957313179667646
3,4,0.9582272862649134
1,4,1.0
2,4,0.9459033180542328
3,3,0.9491199339543056
4,4,0.9926344503303709
1,4,1.0
2,4,0.9714922025672914
3,4,0.9920990948778853
4,3,0.9824219862926427
5,3,0.9988625716335549
1,4,1.0
2,4,0.890978558696411
3,4,0.9275930279804568
4,4,0.974710896432119
5,4,0.8905983006286934
6,4,1.022836677932117
1,4,1.0
2,4,0.9624854699700666
3,3,0.9571659411993356
4,4,0.9714252787275018
5,4,0.9500375356406265
6,3,0.9654670637849428
7,4,0.9565821058275971
1,4,1.0
2,3,0.9881299195093224
3,4,0.9328219091940122
4,4,0.9349361108766459
5,4,0.95273314711747
6,4,0.9249576534413914
7,4,0.9852682088333777
8,3,0.9748475920822114
1,4,1.0
2,4,0.9503886949222989
3,3,0.9668780663205818
4,4,0.9711241265156252
5,4,0.9943957296270952
6,4,0.9914667611278735
7,4,0.9625224548738783
8,4,0.9463340450319342
9,3,1.0023091600005676
1,4,1.0
2,3,0.9546722942508719
3,4,0.9740738372587284
4,4,0.9136854117669109
5,4,0.9432486991766549
6,4,1.0234907436447533
7,4,1.0074259852900664
8,4,0.980766973993937
9,4,0.9294175616655871
10,3,0.9710025671052941
1,4,1.0
2,3,0.9495099801534941
3,4,0.9257903922888573
4,4,1.011754486063546
5,4,0.966169299445871
6,4,0.9803340251867916
7,4,0.9838300972637133
8,4,0.9288393495735998
9,3,0.9842774488098166
10,4,0.9360773335483581
11,2,0.9573230809223338
1,4,1.0
2,4,0.91908529540731
3,3,0.9271560450006816
4,4,0.8747658063919046
5,3,0.9921784857104516
6,4,0.9541277966122725
7,4,0.9998736916901637
8,2,0.9769108074716955
9,4,0.9670164300331214
10,4,0.9946102102597871
11,3,0.9219175711381008
12,4,0.9781965110414765
