Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,1.0053855319528429
1,4,1.0
2,4,0.9389229059476601
3,4,0.930195380466759
1,4,1.0
2,4,0.946948303094971
3,4,1.0214580830342597
4,4,0.9156081634060388
1,4,1.0
2,3,0.9576385974194863
3,4,0.9741778454383365
4,4,0.9808646417262147
5,4,0.9315875396690172
1,4,1.0
2,4,0.9777782774551076
3,4,0.9672192918508472
4,3,0.9314694259195107
5,3,0.9442605562816571
6,3,0.958562477986425
1,4,1.0
2,4,0.9895525155262758
3,4,0.9494032894490485
4,4,0.9639632304003949
5,4,0.9641193847580076
6,3,0.9749326920089042
7,4,0.9798565595485127
1,4,1.0
2,4,0.8933347719510671
3,4,1.0014159514979288
4,3,0.999895069163614
5,3,1.0068050432793492
6,4,0.9382006219276423
7,4,0.9985025707083298
8,4,0.9789976573359378
1,4,1.0
2,3,0.9766155503394122
3,4,0.960704077178502
4,3,0.9682332578359593
5,4,0.980645684086598
6,4,0.9847890966232848
7,4,0.9649015377583976
8,4,0.9606712969285409
9,4,0.9590907602711285
1,4,1.0
2,3,1.0036528374052585
3,4,1.0040407625015164
4,4,0.9665020965905775
5,4,0.9959637173639976
6,4,0.9739545109358045
7,2,0.9724078769534878
8,3,0.8845089015212076
9,3,0.9244146780012946
10,3,0.881416894745643
1,4,1.0
2,4,0.9590842951196905
3,3,0.9539695099803132
4,4,0.9657740472085548
5,4,0.9413125483977886
6,4,1.0155177619086992
7,4,0.9184632405962607
8,3,0.9363829119832073
9,2,0.9561111254880023
10,4,0.9558750235342424
11,4,0.9309903917560454
1,4,1.0
2,4,0.9658265902527081
3,3,0.9830083339758973
4,4,0.913678945505861
5,4,0.9858942334915183
6,3,0.9968676877784485
7,4,0.9100796470504919
8,4,0.9276055839176097
9,4,0.9555731911890915
10,4,0.9904285849316347
11,4,0.9854433461753292
12,4,0.8688291838376401
