Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.7753376676191945
1,4,1.0
2,4,0.7695311462959638
3,4,0.8353306156635076
1,4,1.0
2,4,0.7964561025815059
3,3,0.8058101879479951
4,4,0.7665379562927327
1,4,1.0
2,3,0.7874778001904248
3,3,0.8692185699368822
4,4,0.7862471767627995
5,4,0.7869362424863675
1,4,1.0
2,4,0.7884764681130816
3,4,0.7599823644774573
4,4,0.8161204248450438
5,4,0.8345153631048272
6,4,0.7932238153933706
1,4,1.0
2,4,0.8393227145929322
3,2,0.697833051785439
4,3,0.7481407666145768
5,3,0.8253924845676426
6,4,0.7781105514021355
7,4,0.8229612715187051
1,4,1.0
2,4,0.7486196851992856
3,2,0.5579778621921513
4,4,0.7775607301785371
5,2,0.8022636900726079
6,4,0.7814083338687722
7,4,0.7913880233507256
8,4,0.8015119609910127
1,4,1.0
2,3,0.7959543671368334
3,2,0.44304749047332487
4,4,0.7276569684141011
5,2,0.757627658325071
6,3,0.8307593527323242
7,3,0.8025937432254171
8,4,0.7873466620797797
9,4,0.7779765120813801
1,4,1.0
2,4,0.7899469493409234
3,2,0.3922060179152486
4,2,0.7106649744308597
5,2,0.6659117834008345
6,4,0.8550417239615474
7,4,0.7566126945851387
8,2,0.876994474791607
9,4,0.7909772663910898
10,4,0.8288058980565027
1,4,1.0
2,3,0.7991598018835421
3,2,0.477833729958775
4,2,0.6446321536237234
5,2,0.6525950252967698
6,3,0.6870583160550935
7,4,0.8224741216613983
8,2,0.8213577996243367
9,4,0.7942666564901748
10,4,0.8302473677684422
11,3,0.8394672766657164
1,4,1.0
2,4,0.8345469752709389
3,2,0.5866015035319677
4,2,0.6129246329370568
5,2,0.6194828476530433
6,2,0.5796547429219766
7,4,0.792020135044713
8,2,0.7865925114976166
9,3,0.8158157131564882
10,2,0.8079066674796976
11,4,0.7957756826276329
12,4,0.8085853537946531
