Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8500924039455644
1,4,1.0
2,4,0.8550272141900236
3,4,0.8410604162909988
1,4,1.0
2,4,0.9048388124264148
3,3,0.8418845378449921
4,4,0.8416590097665001
1,4,1.0
2,4,0.8645784122086537
3,3,0.8279206711648378
4,4,0.840271717682284
5,4,0.8307901404856899
1,4,1.0
2,3,0.8768312595057034
3,4,0.881482705894932
4,4,0.8975940815059681
5,3,0.7904179807485154
6,4,0.8139695846820258
1,4,1.0
2,2,0.8260345514587041
3,4,0.84084426651825
4,3,0.8871634238307745
5,4,0.8492455832353798
6,3,0.7272144474881728
7,4,0.8689817533359645
1,4,1.0
2,2,0.7133000679004341
3,4,0.8463806730818236
4,3,0.8279343367327967
5,4,0.8227564360318154
6,3,0.7641716659180742
7,3,0.8708885257620576
8,3,0.8266988389673517
1,4,1.0
2,3,0.8279650913726072
3,4,0.8603104253535258
4,3,0.6915709059724241
5,2,0.8870966117794724
6,2,0.6614965931100812
7,3,0.9180660486066786
8,4,0.8178200748452442
9,3,0.8776495521039247
1,4,1.0
2,2,0.877947609979959
3,4,0.823369441184582
4,2,0.5348654131822574
5,3,0.8429604968859963
6,2,0.5560916488194948
7,2,0.9042289341366253
8,3,0.7970907458668118
9,3,0.8521616423683561
10,4,0.7631714126943641
1,4,1.0
2,3,0.846913629714719
3,3,0.8566903879275621
4,2,0.5623562098776684
5,3,0.8027461856808138
6,2,0.4754484519268493
7,2,0.7591377228037832
8,3,0.7916954691139946
9,4,0.8133353306967857
10,3,0.7997412003087142
11,3,0.8600333208217339
1,4,1.0
2,3,0.85402311922068
3,2,0.8478276309698366
4,2,0.5315846955134451
5,3,0.742003879778263
6,2,0.3767389221419828
7,2,0.6712548465376068
8,3,0.8481122128539408
9,4,0.8272465186961757
10,2,0.7111138449241355
11,4,0.8820285454665162
12,3,0.7943936108869188
