Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9278814711136353
1,4,1.0
2,4,0.9437468963789495
3,4,0.9513777568111467
1,4,1.0
2,4,0.9300678752782728
3,4,0.843193997185999
4,4,0.9028634735829226
1,4,1.0
2,3,0.8972421838940582
3,4,0.8894992259866839
4,3,0.928434398799202
5,3,0.9564769719719332
1,4,1.0
2,4,0.9700862663682706
3,3,0.8966285333045092
4,4,0.8576717888082672
5,3,0.9701015992120533
6,3,0.8620472500191196
1,4,1.0
2,4,0.9093683710056567
3,2,0.8629125148946069
4,4,0.8449975948480601
5,4,0.9068994919555824
6,2,0.8864346854498861
7,4,0.9669871360285286
1,4,1.0
2,3,0.8615486834122518
3,3,0.9187722199708497
4,3,0.8211617636597078
5,3,0.8379994817534141
6,4,0.8768454061124852
7,3,0.8897093847577827
8,4,0.9563665815259162
1,4,1.0
2,2,0.7820577436880249
3,4,0.915856243376177
4,2,0.8463911988119317
5,3,0.9130786529410099
6,4,0.8499795016845857
7,4,0.9659423140153137
8,4,0.9170594377873243
9,3,0.9301801185646892
1,4,1.0
2,3,0.7344442221187534
3,4,0.8944900010500316
4,3,0.8789824431990015
5,4,0.8523317551494642
6,4,0.8586708028747524
7,4,0.93285605076455
8,3,0.8764880820175897
9,3,0.9323593426588376
10,4,0.93794269402707
1,4,1.0
2,2,0.7426065540595014
3,4,0.87325033343221
4,2,0.7713754591071598
5,3,0.92107574063765
6,2,0.8020304603928502
7,3,0.9111663619000343
8,3,0.9472339009904629
9,4,0.8620702612679064
10,4,0.942617095298045
11,3,0.8902222402604179
1,4,1.0
2,2,0.660138847977486
3,3,0.8463998559995954
4,2,0.760345948246864
5,4,0.8853959370242468
6,2,0.7797450155937153
7,4,0.8847202965819491
8,3,0.9240178882066814
9,4,0.831228505138888
10,4,0.9638070393821055
11,2,0.9402197655920658
12,4,0.9450869091184378
