Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8138999037544783
1,4,1.0
2,4,0.8579592134192472
3,3,0.861561254743696
1,4,1.0
2,3,0.7786161792532255
3,4,0.8778941055555363
4,4,0.862687454595088
1,4,1.0
2,4,0.8053987744781002
3,4,0.8794762098238645
4,3,0.785987002087561
5,3,0.835720241651105
1,4,1.0
2,3,0.7784885465210201
3,2,0.7805822586532527
4,3,0.8020711850932896
5,4,0.8544846138184509
6,4,0.8441358207158355
1,4,1.0
2,4,0.7680945258386648
3,3,0.8894789390037661
4,3,0.8252402502299848
5,4,0.8578399040310566
6,4,0.8688135481661389
7,4,0.7840261217937449
1,4,1.0
2,2,0.8277772611743351
3,3,0.8225259906118437
4,3,0.7292394206402519
5,3,0.8516543191222143
6,3,0.8829324116436227
7,2,0.8265032781844662
8,3,0.8557414377485721
1,4,1.0
2,2,0.8009611459660492
3,2,0.7347831479287509
4,3,0.7304920297969512
5,2,0.8840114970498029
6,3,0.8724417754920364
7,4,0.8285167619732964
8,3,0.8334239990187813
9,4,0.8712134081505606
1,4,1.0
2,3,0.8150959348589787
3,2,0.6516544669867522
4,3,0.7138902735541504
5,4,0.8696505728907357
6,2,0.8303149583630891
7,3,0.8249402290876012
8,2,0.8258259908250474
9,3,0.8593923100941163
10,4,0.8627090384095241
1,4,1.0
2,4,0.8768054684189746
3,2,0.6356084410362519
4,3,0.7230557068906549
5,3,0.8810684597864096
6,4,0.8757492995471865
7,3,0.7424791776800846
8,4,0.8620562559023193
9,4,0.8472810189594967
10,2,0.8359365637763213
11,4,0.8495284145384369
1,4,1.0
2,3,0.8464381020541164
3,2,0.6136859311235299
4,2,0.6560513303263735
5,3,0.7915183724100996
6,3,0.7599728066388767
7,3,0.7490765018522091
8,3,0.8613055889583227
9,4,0.8754669547530977
10,4,0.7991448589248721
11,4,0.812085118163475
12,4,0.8920208197828935
