Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8691221729685614
1,4,1.0
2,4,0.8308484742224039
3,4,0.8212282280224019
1,4,1.0
2,4,0.8811607490060892
3,3,0.8753660425306368
4,4,0.8853501409019945
1,4,1.0
2,4,0.8599879980435117
3,4,0.8882681752287183
4,4,0.8286148725561321
5,4,0.8602020954451657
1,4,1.0
2,3,0.8657170266441006
3,4,0.8850671131418969
4,4,0.9004344931727988
5,4,0.7876970676931506
6,3,0.8602984261097701
1,4,1.0
2,3,0.8714261687554752
3,2,0.8350028808591531
4,4,0.8745454375778892
5,3,0.82777269537136
6,4,0.8759562563011046
7,3,0.7647999732962367
1,4,1.0
2,4,0.8321297578503559
3,4,0.8653312291337254
4,2,0.8397083424019489
5,3,0.8108114970107062
6,4,0.8390206895722653
7,4,0.8136487054830094
8,4,0.8384822393541121
1,4,1.0
2,4,0.9147846289037501
3,3,0.9178552891379057
4,2,0.8169363244869029
5,4,0.8342731434390114
6,3,0.855431039219283
7,3,0.7858526318384499
8,3,0.8269376531162489
9,4,0.8146900978822749
1,4,1.0
2,3,0.8953989505834404
3,4,0.8126095549488448
4,2,0.7650060819565614
5,2,0.8185508160738231
6,2,0.775567221549718
7,3,0.717538469176377
8,4,0.863761960319922
9,4,0.840167824785296
10,4,0.8759581794333551
1,4,1.0
2,2,0.8736150345390055
3,4,0.8885050453281055
4,2,0.7931274268033062
5,3,0.8177194156776726
6,2,0.6920593942949479
7,2,0.7658573590196226
8,3,0.7493936840265006
9,4,0.8188035008784221
10,4,0.8036614222374934
11,4,0.8442380569028907
1,4,1.0
2,3,0.7974849312500865
3,4,0.8660675532340573
4,2,0.7887278656183883
5,2,0.8213349129021453
6,2,0.6349489649910341
7,3,0.7708219325752167
8,2,0.8242505930824241
9,4,0.7928376459698766
10,3,0.9035671549990779
11,3,0.8074245675734731
12,2,0.826784943660947
