Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8708216374483497
1,4,1.0
2,3,0.9130124323051161
3,4,0.8228146374773078
1,4,1.0
2,4,0.9074547915850264
3,4,0.8461876325139266
4,3,0.8200871263358833
1,4,1.0
2,4,0.9109430733394732
3,2,0.8718566991059091
4,4,0.8982418725202862
5,4,0.9064002670899509
1,4,1.0
2,4,0.8678077691115655
3,2,0.845382956472838
4,3,0.8167303504383029
5,4,0.9098004024417329
6,4,0.8504203558712868
1,4,1.0
2,4,0.8494909652153153
3,4,0.8517767065695933
4,4,0.8468577155394906
5,4,0.8233218509657048
6,4,0.8668001339109208
7,4,0.8858972971587895
1,4,1.0
2,2,0.7982796588757873
3,2,0.8015672443029294
4,4,0.8492404504562469
5,3,0.9154200996965585
6,2,0.8418306016438682
7,3,0.9018361233983292
8,4,0.9126088951968641
1,4,1.0
2,3,0.6515798492304247
3,4,0.7843484753542928
4,4,0.8349107029577778
5,3,0.9290345105918579
6,4,0.8169222623728156
7,4,0.8244581758810684
8,4,0.8216136659333786
9,4,0.8751023737218464
1,4,1.0
2,2,0.7523713631872964
3,4,0.8039433291850924
4,4,0.8467473891865508
5,4,0.9364230572089085
6,3,0.8176510502535079
7,3,0.9240315168342712
8,3,0.8646271306231397
9,3,0.8773643978296317
10,4,0.8780712948531851
1,4,1.0
2,2,0.7553209094372619
3,4,0.7772555791848782
4,3,0.8250714816655838
5,3,0.8695118142417425
6,3,0.7986095815568433
7,2,0.9056907759206737
8,4,0.9101675004325094
9,4,0.8585331472738217
10,3,0.8618354992631351
11,4,0.9194255711142238
1,4,1.0
2,2,0.7260823532038693
3,2,0.7676262160766189
4,3,0.8428819025278049
5,2,0.8043183933102755
6,2,0.8363279149627588
7,4,0.8992836439945575
8,4,0.8536912273051379
9,4,0.8633031298550331
10,4,0.8563314528373867
11,4,0.8490854502264968
12,3,0.8484316435032372
