Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,1.0086144956852612
1,4,1.0
2,3,0.9932543094914343
3,4,0.9123638908089267
1,4,1.0
2,4,0.9776546518294615
3,4,0.9972703713246962
4,4,0.9915093894645585
1,4,1.0
2,3,1.0013401739100705
3,3,0.9925274465818236
4,4,0.9328104217555483
5,3,0.949297698277784
1,4,1.0
2,4,0.9642167604521764
3,3,0.9653105422814579
4,4,0.9061379855216131
5,4,0.9976929813294575
6,3,0.9773219899526472
1,4,1.0
2,3,0.995981536279949
3,4,0.9859886925922953
4,3,1.009604674921531
5,4,0.9921642383420172
6,4,0.9840732108267115
7,4,0.9356693706304915
1,4,1.0
2,4,1.0135777645498962
3,3,0.9642934498704021
4,3,0.9631953988190828
5,4,0.9844124407927862
6,4,0.9693458327116995
7,4,0.9693221612863978
8,3,0.9766065056901829
1,4,1.0
2,4,0.9747116889160341
3,3,0.9630292615674102
4,4,0.9212319043687885
5,4,0.9591940969041508
6,3,0.9859706839634803
7,4,0.9723296875912663
8,4,0.9661494712065795
9,3,0.9839139428118782
1,4,1.0
2,4,0.976129009821019
3,4,0.8584261827960066
4,4,0.9609911932762623
5,3,0.9635935601987029
6,4,0.9714241496546623
7,3,0.9040060117024634
8,4,0.9771820707244645
9,4,0.976060522883468
10,4,0.9169209114393223
1,4,1.0
2,4,0.9850464707294477
3,3,1.0171229518719525
4,4,0.952848568093579
5,4,1.018673250779702
6,4,1.010705064129997
7,3,0.9434573110093032
8,3,0.942100383086288
9,4,0.9869470434861389
10,4,0.9464161517494247
11,4,0.9910227947251654
1,4,1.0
2,4,0.9962972303718615
3,4,0.9524766682870883
4,3,0.9176173541456063
5,4,0.9016137891262549
6,3,0.975720712738199
7,4,0.9414041664227231
8,3,0.9998456823570618
9,4,0.9790781073565131
10,4,0.8924752754564931
11,4,0.9560014772113297
12,3,0.9812553501783302
