Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8790366488585588
1,4,1.0
2,2,0.8323733175850361
3,4,0.9399170991379746
1,4,1.0
2,3,0.9134537532501276
3,4,0.9124089527067539
4,4,0.9302735455967838
1,4,1.0
2,3,0.7951803607602127
3,4,0.9053734757010745
4,4,0.9078395027379326
5,4,0.9282416064724911
1,4,1.0
2,3,0.7732964634440167
3,3,0.943117725850029
4,4,0.910978503914351
5,3,0.9498610819282013
6,3,0.9139806006786291
1,4,1.0
2,3,0.8176010316420934
3,3,0.9239079461546633
4,4,0.9054960135869708
5,3,0.9530410643459589
6,4,0.9255488192996706
7,4,0.8972943689433462
1,4,1.0
2,3,0.7697122237250658
3,4,0.9308646906781582
4,4,0.9009507512061403
5,4,0.8797622065284354
6,4,0.9595729251588022
7,4,0.8425204962674484
8,4,0.9074745405177725
1,4,1.0
2,2,0.7307142969751388
3,4,0.9137013166365596
4,4,0.9284401446875048
5,4,0.9764502172592351
6,4,0.9342362399241759
7,4,0.9484556703182373
8,3,0.9124831665886268
9,3,0.9557838356854359
1,4,1.0
2,2,0.6756324293655755
3,4,0.9495361381723926
4,3,0.8713490702891942
5,4,0.9114599951982297
6,4,0.9332011231758642
7,3,0.9056204378941548
8,3,0.8951404909952501
9,4,0.9676274949626578
10,4,0.9361377260387901
1,4,1.0
2,2,0.6499253522469558
3,4,0.9098106744562144
4,4,0.9198253037708317
5,4,0.9402712292281007
6,3,0.9181347672023216
7,4,0.8793238051846742
8,3,0.9063725259938104
9,4,0.9542553225694734
10,4,0.9648712417735121
11,4,0.8729971522218829
1,4,1.0
2,2,0.6302252227379357
3,3,0.9140418100616841
4,3,0.8528314714837284
5,4,0.9597395417627987
6,4,0.8709288793430078
7,3,0.9106742297116194
8,3,0.8797461805773972
9,4,0.9319575684602356
10,4,0.9520030840670678
11,4,0.9412219933501895
12,4,0.9102287913124085
