Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9357492883147246
1,4,1.0
2,4,0.9946814869718114
3,4,0.9613974767066014
1,4,1.0
2,4,0.9612667428473455
3,2,0.9986484856347977
4,4,0.9749898562887978
1,4,1.0
2,3,0.9041164606746582
3,3,0.9696476114753301
4,4,0.9377372770486448
5,4,0.9273368088652463
1,4,1.0
2,4,0.9519171997215088
3,3,0.9800515067434701
4,4,0.9806324451437748
5,4,0.9521211258555351
6,3,0.968241034254458
1,4,1.0
2,2,1.0005296736493992
3,2,1.0065204544295931
4,3,0.9294097473392099
5,3,0.9470737035179745
6,4,0.950545328320331
7,2,1.013138564480805
1,4,1.0
2,4,0.9527934421804836
3,3,1.006827786377303
4,3,0.9717639296736075
5,4,0.9616764962613816
6,4,0.9491423886317346
7,4,1.0042454592018848
8,4,1.0051290159453
1,4,1.0
2,3,0.9734544546140318
3,2,0.9775414664573807
4,4,1.005000957631051
5,4,0.9899662513080427
6,3,0.9555885576800345
7,4,1.005055184910449
8,4,0.9185826644623236
9,3,0.9919453257562197
1,4,1.0
2,3,0.9658052322391038
3,4,0.9582470790181792
4,4,0.9791292945633807
5,4,0.9677257850732652
6,4,0.9773357265401768
7,4,0.8999396131695067
8,4,0.9785024806402304
9,3,0.9028186356130624
10,4,0.9693484919378632
1,4,1.0
2,3,0.908646996544958
3,4,0.9744399265786904
4,4,0.9181009376803502
5,4,0.9856687281948002
6,4,0.9300833529382253
7,3,0.9916529882342503
8,3,0.8903327854144811
9,4,0.9268688132746167
10,3,1.0082928329882608
11,4,0.9208443742165445
1,4,1.0
2,4,0.9817657927415143
3,4,0.959014665888694
4,3,0.9466075044642326
5,3,0.884006416033512
6,4,0.9880711575565521
7,4,0.9775070575586082
8,4,0.9807223756678503
9,3,0.9039983868468122
10,4,0.9741735813048031
11,4,0.9681440733403641
12,4,0.9687154105154047
