Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8346226998660887
1,4,1.0
2,3,0.8704832365415239
3,4,0.843637568126789
1,4,1.0
2,4,0.8637134313729947
3,2,0.8481273174015234
4,4,0.8939342043092583
1,4,1.0
2,4,0.8408972169395601
3,3,0.8322514530692634
4,3,0.8711587878643354
5,3,0.8858591557622758
1,4,1.0
2,4,0.8469224860379055
3,3,0.8109711456695068
4,4,0.9132318676820973
5,4,0.8612502492746474
6,4,0.9203256887402117
1,4,1.0
2,2,0.801226264840509
3,2,0.7832367176785345
4,3,0.8249465937950706
5,4,0.8886760522210456
6,4,0.8741816344493235
7,4,0.9550424165686784
1,4,1.0
2,3,0.8597822444942428
3,3,0.7579682567216431
4,3,0.8783053864877663
5,4,0.8445133227737109
6,4,0.8735284791356311
7,4,0.9060617660964857
8,4,0.8910924342314263
1,4,1.0
2,3,0.8224329765170088
3,2,0.7798987661442942
4,4,0.8678479717449487
5,4,0.8662364825349113
6,4,0.8968339279347118
7,3,0.9168847609818395
8,3,0.8180825529333117
9,4,0.911883392219922
1,4,1.0
2,3,0.8566075748323071
3,2,0.730613160078165
4,4,0.8713988032097075
5,2,0.8559588212935365
6,2,0.8691784735551655
7,4,0.8022186936482575
8,2,0.8808691623925936
9,4,0.9313551907099084
10,4,0.9144585917315524
1,4,1.0
2,4,0.8265435395131061
3,2,0.7441694496962192
4,3,0.8325851313215711
5,2,0.7992390103748569
6,4,0.8865890254473376
7,3,0.885657272411052
8,3,0.8180414250181612
9,4,0.9016600496280984
10,3,0.9207022719313199
11,4,0.8476630892001442
1,4,1.0
2,4,0.7918618694622801
3,2,0.7240892582430427
4,2,0.8170490605327287
5,4,0.8217618638308216
6,3,0.909962085063877
7,2,0.8038471594952227
8,2,0.7560941979126397
9,4,0.8724422575753352
10,3,0.892432073447732
11,2,0.8749284093387153
12,4,0.8537495000077466
