Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.771073373357055
1,4,1.0
2,4,0.8001976121750987
3,4,0.8263586778629909
1,4,1.0
2,3,0.7667422021746829
3,3,0.838952899248169
4,4,0.7578741640349363
1,4,1.0
2,3,0.7629591513926919
3,3,0.8053131720369101
4,3,0.6967654824191928
5,2,0.8387656891563692
1,4,1.0
2,2,0.757921204380912
3,2,0.646528072036798
4,2,0.7364776186880595
5,4,0.8016814812042493
6,3,0.735033319027548
1,4,1.0
2,3,0.7388922774496509
3,2,0.5178526388554481
4,2,0.6847442869391568
5,3,0.7895164996684153
6,4,0.6681657179488769
7,3,0.8075865834389776
1,4,1.0
2,4,0.7479275579348047
3,2,0.4739545947582634
4,4,0.7368636929040361
5,2,0.6249928752965225
6,2,0.6787386040262132
7,4,0.7669284679446667
8,3,0.8246226945959482
1,4,1.0
2,3,0.7515444161318595
3,2,0.4243799318638812
4,4,0.7819174774983179
5,2,0.4597018150090255
6,2,0.637989161579112
7,4,0.8084221073940294
8,4,0.8620227638708889
9,2,0.7307000291967632
1,4,1.0
2,4,0.8412039182259466
3,2,0.6174333255801432
4,3,0.8270000962927102
5,2,0.4840694581876975
6,2,0.602548470149115
7,2,0.7537768112162165
8,2,0.766931425764903
9,3,0.7678825317785525
10,4,0.8189657475982711
1,4,1.0
2,3,0.7705434381211893
3,3,0.7563292705073906
4,2,0.6194668824026813
5,2,0.5342033738617815
6,3,0.6737826222234029
7,4,0.7808714578770664
8,2,0.7409018222460191
9,2,0.7267521558370861
10,4,0.8348396663969846
11,3,0.7930282132697458
1,4,1.0
2,2,0.7319572310047239
3,3,0.8200950207069618
4,2,0.6034300848915299
5,2,0.585981817338295
6,3,0.7477120564341164
7,3,0.7951277820988799
8,2,0.6647988496014221
9,3,0.71723143158351
10,2,0.8243833372493437
11,4,0.7215121302030344
12,4,0.8293012781830746
