Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.8991852594019205
1,4,1.0
2,4,0.9487538464117191
3,4,0.830632849820687
1,4,1.0
2,2,0.9084295199636071
3,4,0.9235339724046306
4,3,0.9040716036798122
1,4,1.0
2,4,0.9180548288407281
3,4,0.9256664984768714
4,4,0.9030662979622394
5,3,0.9320787910582727
1,4,1.0
2,4,0.9609157662632218
3,3,0.841135816364747
4,4,0.9392919315483522
5,4,0.9208715532768598
6,4,0.9413706776413634
1,4,1.0
2,4,0.9542892443120939
3,3,0.8743478178515032
4,2,0.924352233686729
5,4,0.8667219920721291
6,3,0.9481057027573634
7,4,0.8356307040017491
1,4,1.0
2,3,0.8697589293363743
3,3,0.8613813234969258
4,4,0.9264773734655671
5,3,0.892827652649434
6,4,0.9360162258643537
7,4,0.8291760958524157
8,4,0.9514903162247854
1,4,1.0
2,3,0.9153103400935477
3,3,0.8519954302199064
4,4,0.9301871629389044
5,4,0.893332095800343
6,3,0.8627763240723122
7,3,0.8682280488059848
8,4,0.9391673222331866
9,3,0.961344764242736
1,4,1.0
2,3,0.9212237651025879
3,2,0.8201006542425553
4,3,0.9021623362842686
5,3,0.9011983396275285
6,2,0.8984076654348429
7,3,0.800708922943186
8,4,0.9169978268974451
9,4,0.9421671091504746
10,3,0.9362119822381979
1,4,1.0
2,3,0.840734635152752
3,2,0.8021019369427657
4,3,0.9485674730829017
5,4,0.8332947165445853
6,2,0.8340897140505825
7,2,0.8093038935411813
8,4,0.9652139409537774
9,4,0.8819818531108402
10,4,0.9205665851415619
11,3,0.9540295526470585
1,4,1.0
2,3,0.9165718309639541
3,3,0.7696266358065957
4,2,0.8759025314073465
5,3,0.8520173770101335
6,2,0.7559695757401073
7,2,0.7626338890834666
8,4,0.9347082496957028
9,4,0.8967004746226791
10,4,0.8673649893297402
11,4,0.9530068076999574
12,4,0.876291663021578
