Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9496599449353484
1,4,1.0
2,3,0.9473765988423672
3,4,0.9313610939180162
1,4,1.0
2,4,0.9387459004596014
3,4,0.9286529540006478
4,4,0.9659709935523111
1,4,1.0
2,3,0.9739087146369533
3,4,0.8887120182628028
4,4,0.9633218947668304
5,4,0.9183943311760336
1,4,1.0
2,4,0.9425794069562405
3,4,0.8761749184174112
4,4,0.9280795789139232
5,4,0.9283375092056728
6,4,0.9631574059094662
1,4,1.0
2,4,0.944502357813703
3,3,0.8800452629402121
4,4,0.9725609698341279
5,3,0.8571263883469626
6,4,0.8753310050075425
7,4,0.8535670549357008
1,4,1.0
2,2,0.879603582352354
3,3,0.8617968420283459
4,3,0.9046517422087783
5,4,0.9180661430934963
6,4,0.9679937217387056
7,4,0.9457343154486202
8,3,0.9381165321365904
1,4,1.0
2,2,0.8790860728639583
3,2,0.8082528346224487
4,2,0.921144586961848
5,4,0.8880038638994399
6,4,0.9544073178133956
7,3,0.8843797137588758
8,2,0.9368149769294785
9,4,0.9162064511363296
1,4,1.0
2,2,0.8360670426915588
3,3,0.7873630361796372
4,3,0.8392621939325002
5,3,0.9058432658451181
6,3,0.938856796479869
7,3,0.8242523810842897
8,4,0.9140136183639193
9,4,0.9663129639131627
10,4,0.8416547046465961
1,4,1.0
2,3,0.777762373638155
3,2,0.7826419372288188
4,3,0.7548906273291213
5,3,0.8229141370694033
6,3,0.8262003322954184
7,4,0.8419809567475026
8,4,0.8963836758635647
9,4,0.9459248844767244
10,3,0.9500346469184903
11,4,0.892847971492108
1,4,1.0
2,2,0.7935614019684845
3,3,0.7368071671290061
4,3,0.7473283147511721
5,3,0.8670916387422776
6,4,0.8578759437501795
7,4,0.8183196904985387
8,4,0.8783806151130393
9,4,0.8076360187369338
10,4,0.9631030053759899
11,4,0.922490925701325
12,4,0.9065826281275615
