Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.8834593314587155
1,4,1.0
2,4,0.9007730998033344
3,4,0.8420129483091532
1,4,1.0
2,4,0.9057894518697566
3,4,0.8586031636385655
4,3,0.8991919089123899
1,4,1.0
2,4,0.9070906105843833
3,3,0.7773004044691163
4,3,0.8857079661506824
5,4,0.8806867341678815
1,4,1.0
2,4,0.8080723665690743
3,2,0.8346545389416818
4,3,0.8310067340042874
5,4,0.8976139795278839
6,4,0.829929710222359
1,4,1.0
2,4,0.867111843438314
3,4,0.8370342637502569
4,3,0.9157089469170704
5,3,0.8749545138521884
6,3,0.8411804597378716
7,4,0.9234798854460373
1,4,1.0
2,2,0.8333322694123133
3,3,0.8099426629357515
4,4,0.7928252262433729
5,4,0.8646737303848802
6,3,0.8396325115508809
7,3,0.9490195281150777
8,4,0.8410751860198582
1,4,1.0
2,2,0.8409842835005897
3,4,0.8503555058395654
4,3,0.8666048350834085
5,4,0.8823909230441851
6,3,0.740796967414306
7,3,0.9187300929438629
8,4,0.8497221903930159
9,4,0.925248724800265
1,4,1.0
2,3,0.8081733758081531
3,3,0.8797979038931845
4,4,0.8994580784227281
5,3,0.8942042655679697
6,3,0.6807844075350958
7,3,0.8822604493665315
8,4,0.8575116590406849
9,4,0.8957756728703451
10,4,0.9061252226849811
1,4,1.0
2,2,0.808712921796716
3,4,0.9187505812569066
4,4,0.8866715333590254
5,2,0.9066925771750729
6,2,0.6332713956930258
7,2,0.762584620644331
8,3,0.8679255401245157
9,4,0.9002896811939479
10,3,0.8758503105383028
11,3,0.8999029273210011
1,4,1.0
2,2,0.7765760996894333
3,4,0.8399937628214454
4,4,0.8499606575171305
5,2,0.8308272842303837
6,2,0.5971480818007072
7,2,0.7921843239572735
8,2,0.8044952295514319
9,3,0.9011776176947905
10,4,0.9318529057569195
11,4,0.8817568190145756
12,4,0.8428525384443575
