Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.8139621495812404
1,4,1.0
2,3,0.8164663768405334
3,3,0.8293125935864605
1,4,1.0
2,4,0.8108171316779902
3,4,0.8233766854172476
4,4,0.8070701448195211
1,4,1.0
2,4,0.8712582767373791
3,3,0.8186004757604041
4,4,0.8044918755000929
5,4,0.7378448895566616
1,4,1.0
2,4,0.7961904831113469
3,3,0.7843099374009128
4,2,0.869574632935342
5,3,0.7900600928775885
6,4,0.7697055975718289
1,4,1.0
2,2,0.7199613899908137
3,3,0.8097975956795899
4,2,0.8076497812656628
5,4,0.7695370161155316
6,2,0.8159841994311862
7,4,0.8172101095473666
1,4,1.0
2,2,0.6243033988096702
3,4,0.8174869304973763
4,2,0.6885509612763779
5,4,0.7912170561858312
6,4,0.8071817436298133
7,3,0.855354000403933
8,3,0.8195446751446058
1,4,1.0
2,2,0.5101493145693888
3,4,0.8158958553169273
4,2,0.6380257600453764
5,3,0.7892650341556712
6,4,0.7560120826937432
7,3,0.7523215118362285
8,4,0.7828129274456362
9,4,0.8100781818355501
1,4,1.0
2,2,0.48337871437662183
3,4,0.7217260272799148
4,2,0.6977174438946283
5,3,0.8780952703156123
6,3,0.8564952370976433
7,4,0.7798286380492704
8,4,0.7885758982773359
9,4,0.8745986303189371
10,4,0.7235980343670765
1,4,1.0
2,2,0.5134409923111302
3,3,0.7549414577653143
4,2,0.7523411619788937
5,3,0.7920040919243322
6,2,0.7094262996764026
7,3,0.8383220299433135
8,4,0.7880920351816925
9,3,0.7585093566479715
10,3,0.7857873263330829
11,4,0.7890908889467011
1,4,1.0
2,2,0.5371432455594168
3,2,0.7213461353554674
4,3,0.7814882014508978
5,2,0.7635218127593462
6,2,0.5951224600135625
7,2,0.8194994956688089
8,4,0.8181755733018304
9,2,0.7609056247833407
10,3,0.8094842465903448
11,3,0.7906004660226501
12,4,0.8228351770733037
