Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,4,0.9205870660795096
1,4,1.0
2,3,0.9154218159071603
3,4,0.9544709114169417
1,4,1.0
2,4,0.8542397034782484
3,2,0.8374942395510556
4,4,0.9698375674753559
1,4,1.0
2,4,0.8839682299102173
3,3,0.8515897482090355
4,2,0.9461436766878097
5,3,0.9318795251543428
1,4,1.0
2,4,0.9110456597039636
3,3,0.8598445007322965
4,4,0.9076813882201143
5,3,0.8976500142823107
6,3,0.9314453921643083
1,4,1.0
2,4,0.9449905147440892
3,3,0.8005305640320796
4,3,0.8596280674165417
5,4,0.8969027787489802
6,4,0.9468481591454436
7,3,0.9106645146420141
1,4,1.0
2,4,0.914207480747217
3,3,0.8380187527097709
4,3,0.9755342261459415
5,2,0.9205351564774509
6,4,0.9288189739789022
7,3,0.898309700895849
8,2,0.8978905761575772
1,4,1.0
2,4,0.8707798372868345
3,2,0.812016653689303
4,4,0.9728585404746857
5,3,0.9090252130557964
6,4,0.9261668669641383
7,3,0.921242215686757
8,4,0.9444090097217722
9,4,0.9035950543198041
1,4,1.0
2,4,0.9012420968567048
3,2,0.7770190463377075
4,3,0.892094644898333
5,4,0.9256198250659542
6,4,0.9468912044306301
7,3,0.935955191741372
8,3,0.8435522024207354
9,3,0.9320128778482777
10,4,0.9303549326189974
1,4,1.0
2,3,0.9736399484240125
3,2,0.7265583853692316
4,4,0.9417199416068783
5,4,0.906973765239128
6,3,0.8498060851004972
7,4,0.9523597538802138
8,4,0.9121441476430429
9,4,0.9230099838809844
10,4,0.8943473136987972
11,3,0.9310468515536607
1,4,1.0
2,4,0.9465863628111448
3,2,0.7410535995900583
4,4,0.9708901282098873
5,3,0.9251148042986346
6,4,0.9066770473934416
7,2,0.9104773289233444
8,4,0.9145975863293812
9,4,0.9051828769836796
10,3,0.9636681027856293
11,3,0.8644689420780336
12,4,0.9486913938470681
