Layer,TPinSecurity,overlapAreaPercentage
1,4,1.0
2,3,0.785503632343542
1,4,1.0
2,4,0.8280672346732876
3,4,0.7893803051548501
1,4,1.0
2,4,0.85209643829277
3,3,0.7845868790985112
4,4,0.826102044303636
1,4,1.0
2,3,0.8412524495986405
3,2,0.8330869207158115
4,3,0.8032511177891141
5,4,0.8442525670275604
1,4,1.0
2,3,0.8088680125206886
3,4,0.8441146674331897
4,4,0.8262012211465494
5,4,0.8166394611065964
6,4,0.7556194903970275
1,4,1.0
2,3,0.7610619465907451
3,3,0.782254694528952
4,4,0.8437433454452666
5,3,0.8336863680714762
6,3,0.7901038977580288
7,4,0.7945496187197094
1,4,1.0
2,2,0.6939237888926378
3,3,0.8144035578166996
4,4,0.8475827046496078
5,3,0.813262726217669
6,1,0.8439003340072672
7,4,0.7630844907282506
8,4,0.7676913640863774
1,4,1.0
2,2,0.5920195990990014
3,4,0.8190715620385935
4,3,0.8223143933564072
5,2,0.664669741033524
6,3,0.7734643646291232
7,3,0.8017196755477246
8,3,0.82783259126405
9,3,0.7763610859607128
1,4,1.0
2,2,0.6354620845839881
3,4,0.8114372210876704
4,4,0.7829586598974311
5,2,0.7144430673251014
6,2,0.8144758120505502
7,3,0.8219174030132129
8,4,0.8045564527198641
9,4,0.7994720745936169
10,2,0.821267642219522
1,4,1.0
2,3,0.7915966920818331
3,4,0.8499315956319852
4,2,0.7376066324722029
5,2,0.7261427444094403
6,3,0.7994696078715974
7,3,0.8433041236400364
8,3,0.8349799915389271
9,3,0.8025267122247115
10,4,0.8292365439125741
11,3,0.8161949746739875
1,4,1.0
2,3,0.8013304835168784
3,4,0.8244955562640737
4,2,0.767383737795873
5,3,0.7487712452946431
6,2,0.8207406210075532
7,3,0.8316654366828117
8,4,0.7358301850796055
9,4,0.8401966253839254
10,4,0.8575610134372623
11,3,0.8346756495090454
12,4,0.760094311536597
