Layer,mean_TPinSecurity,std_TPinSecurity,mean_overlapAreaPercentage,std_overlapAreaPercentage
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
1,4.0,0.0,1.0,0.0
2,3.8,0.4216370213557839,0.9614477595387276,0.0509423606643112
2,3.6,0.5163977794943223,0.9595500728662245,0.03874576015340306
2,3.8,0.4216370213557839,0.9571480829614842,0.0302650417791384
2,3.2,0.9189365834726814,0.9749986494635369,0.02263618459745642
2,3.7,0.48304589153964794,0.9392295858047565,0.05384843787235905
2,3.8,0.42163702135578385,0.9676931229696644,0.0177839258572625
2,3.7,0.48304589153964794,0.9663950418850618,0.036627411476585346
2,3.9,0.3162277660168379,0.9686727026940781,0.013182879797845486
2,3.6,0.5163977794943223,0.9542786974682546,0.038142156735606204
2,3.8,0.42163702135578385,0.9579573108825017,0.03463239254717394
2,3.7,0.48304589153964794,0.9711988838871546,0.03432914611604966
3,3.6,0.6992058987801011,0.9407644182420045,0.027704608877659666
3,3.7,0.6749485577105528,0.9721974802976254,0.035674232485142544
3,3.5,0.5270462766947299,0.9818779620548517,0.03567185602718978
3,3.9,0.3162277660168379,0.9542833194629411,0.021921602272377713
3,3.5,0.5270462766947299,0.9519334854692687,0.026640696207730675
3,3.7,0.48304589153964794,0.9679189696883839,0.041522654141930154
3,3.6,0.5163977794943223,0.952199607733222,0.04765955195317273
3,3.8,0.4216370213557839,0.9472211229990132,0.05027915896018046
3,3.6,0.5163977794943223,0.936915215836863,0.04317197165359051
3,3.6,0.5163977794943223,0.9711922187528085,0.03150499995680075
4,3.6,0.6992058987801011,0.9544128789386693,0.037893066134003804
4,3.7,0.48304589153964794,0.9736755001219504,0.02391517932435771
4,3.7,0.48304589153964794,0.9574832269163979,0.03314013220100364
4,3.6,0.6992058987801011,0.9674577855431691,0.03707689814401223
4,3.8,0.4216370213557839,0.9550345193040994,0.034866053113657446
4,3.4,0.6992058987801011,0.949983699720476,0.04878749389358448
4,3.7,0.6749485577105528,0.9404567653564921,0.04791989118621691
4,3.6,0.5163977794943223,0.9451013496047802,0.04109999213822628
4,3.6,0.5163977794943223,0.9448504771353615,0.058889700345612805
5,2.9,0.7378647873726218,0.950627869457106,0.02664754345737287
5,3.6,0.5163977794943223,0.9702399851797129,0.03424908135726402
5,3.3,0.674948557710553,0.9529725062235721,0.01978378023124765
5,3.5,0.7071067811865476,0.9710426361891018,0.025129918075913072
5,3.9,0.3162277660168379,0.9755702905467312,0.02202178981433025
5,3.8,0.42163702135578385,0.9682794485013743,0.02614797439588082
5,4.0,0.0,0.9718368373520839,0.028492251312191783
5,3.8,0.42163702135578396,0.9554260351294067,0.03609921302494161
6,3.6,0.5163977794943223,0.9767778909130505,0.02437836013023342
6,3.7,0.48304589153964794,0.9564140882071875,0.03126561305548264
6,3.7,0.6749485577105528,0.9638003160282345,0.028942373381329923
6,3.6,0.6992058987801012,0.9516237820578993,0.04167782715474519
6,3.7,0.6749485577105528,0.9685310581017369,0.036763016279403586
6,3.7,0.48304589153964794,0.9774244658836467,0.03128620164430745
6,3.6,0.5163977794943223,0.9637928775186587,0.04277178147279739
7,3.7,0.6749485577105528,0.9634383992162947,0.018061076831371196
7,3.5,0.5270462766947299,0.961390777698646,0.028501144241081085
7,4.0,0.0,0.9566027594013361,0.02858703260024057
7,3.5,0.7071067811865476,0.9470453871594092,0.03840398135845996
7,3.7,0.48304589153964794,0.9523376042455232,0.023508653866508165
7,3.8,0.42163702135578385,0.9630178948092232,0.030394728261485943
8,3.6,0.5163977794943223,0.9675427401294705,0.020061444424712138
8,3.7,0.6749485577105528,0.9634904185437154,0.01786130784221273
8,3.7,0.48304589153964794,0.9400095798709003,0.03670350424603876
8,3.4,0.5163977794943222,0.9548250244002382,0.03377564732034496
8,3.2,0.9189365834726814,0.9718845639052567,0.02884199193563807
9,3.6,0.6992058987801011,0.9712097741212166,0.02625994732542599
9,3.7,0.48304589153964794,0.9561444900360568,0.03272806121080407
9,3.5,0.7071067811865476,0.9755073887797231,0.016288593322131655
9,3.7,0.6749485577105528,0.9767143682396174,0.02040659895121452
10,3.3,0.6749485577105528,0.9429897022311666,0.042255721125067355
10,3.5,0.7071067811865476,0.9460497512237005,0.036012784260904374
10,3.9,0.3162277660168379,0.9717749398065756,0.03553245875525838
11,3.6,0.6992058987801012,0.9641971865257182,0.03893422965633591
11,3.6,0.5163977794943223,0.9771455364535633,0.024747449177939154
12,3.7,0.48304589153964794,0.9487517934486313,0.046420804877794035
